679611000000,icub,0.11,0.22,0.71
679640000000,cam,0.009,0.318,0.767
679661000000,icub,0.11,0.22,0.72
679711000000,icub,0.1,0.23,0.72
679717000000,cam,0.016,0.309,0.747
679761000000,icub,0.1,0.23,0.72
679776000000,cam,0.031,0.306,0.754
679811000000,icub,0.12,0.24,0.72
679839000000,cam,0.037,0.31,0.774
679861000000,icub,0.09,0.24,0.73
679894000000,cam,0.05,0.298,0.764
679911000000,icub,0.14,0.29,0.8
679961000000,icub,0.16,0.3,0.81
679964000000,cam,0.071,0.296,0.8
680011000000,icub,0.16,0.3,0.81
680018000000,cam,0.077,0.293,0.808
680061000000,icub,0.17,0.31,0.82
680069000000,cam,0.084,0.27,0.784
680111000000,icub,0.17,0.31,0.82
680119000000,cam,0.095,0.263,0.808
680161000000,icub,0.17,0.31,0.83
680170000000,cam,0.095,0.248,0.786
680211000000,icub,0.15,0.3,0.83
680221000000,cam,0.101,0.246,0.808
680262000000,icub,0.15,0.3,0.84
680271000000,cam,0.106,0.221,0.802
680312000000,icub,0.14,0.29,0.84
680329000000,cam,0.112,0.192,0.799
680362000000,icub,0.12,0.28,0.84
680391000000,cam,0.113,0.174,0.783
680412000000,icub,0.05,0.2,0.85
680462000000,icub,0.05,0.2,0.85
680475000000,cam,0.116,0.158,0.785
680512000000,icub,0.05,0.19,0.85
680532000000,cam,0.124,0.104,0.793
680562000000,icub,0.04,0.18,0.85
680595000000,cam,0.125,0.061,0.771
680612000000,icub,0.05,0.18,0.85
680645000000,cam,0.127,0.04,0.777
680662000000,icub,0.05,0.15,0.85
680702000000,cam,0.131,-0.024,0.766
680712000000,icub,0.05,0.15,0.85
680758000000,cam,0.13,-0.045,0.756
680762000000,icub,0.05,0.14,0.85
680808000000,cam,0.128,-0.085,0.738
680812000000,icub,0.05,0.14,0.85
680858000000,cam,0.128,-0.105,0.732
680862000000,icub,0.05,0.12,0.85
680908000000,cam,0.127,-0.124,0.726
680912000000,icub,0.04,-0.07,0.82
680958000000,cam,0.126,-0.161,0.726
680962000000,icub,0.04,-0.09,0.81
681008000000,cam,0.125,-0.178,0.721
681012000000,icub,0.03,-0.09,0.81
681058000000,cam,0.119,-0.203,0.697
681062000000,icub,0.04,-0.11,0.81
681108000000,cam,0.121,-0.221,0.716
681112000000,icub,0.04,-0.12,0.81
681159000000,cam,0.112,-0.236,0.693
681162000000,icub,0.03,-0.13,0.8
681211000000,cam,0.113,-0.251,0.712
681212000000,icub,0.03,-0.13,0.8
681262000000,icub,0.03,-0.15,0.8
681263000000,cam,0.104,-0.263,0.704
681312000000,icub,0.03,-0.16,0.8
681331000000,cam,0.102,-0.276,0.72
681362000000,icub,0.03,-0.17,0.8
681393000000,cam,0.093,-0.288,0.726
681412000000,icub,0.02,-0.26,0.77
681443000000,cam,0.078,-0.287,0.705
681462000000,icub,0.06,-0.3,0.78
681503000000,cam,0.067,-0.305,0.739
681512000000,icub,0.1,-0.33,0.79
681562000000,icub,0.1,-0.33,0.79
681565000000,cam,0.058,-0.296,0.713
681612000000,icub,0.13,-0.35,0.79
681628000000,cam,0.046,-0.306,0.735
681662000000,icub,0.13,-0.35,0.79
681708000000,cam,0.032,-0.311,0.753
681712000000,icub,0.17,-0.39,0.8
681762000000,icub,0.19,-0.4,0.8
681767000000,cam,0.01,-0.304,0.756
681812000000,icub,0.21,-0.42,0.81
681831000000,cam,0.003,-0.306,0.766
681862000000,icub,0.21,-0.42,0.81
681883000000,cam,-0.011,-0.302,0.78
681912000000,icub,0.16,-0.37,0.79
681933000000,cam,-0.024,-0.291,0.775
681962000000,icub,0.11,-0.34,0.78
681984000000,cam,-0.03,-0.287,0.778
682012000000,icub,0.11,-0.34,0.78
682046000000,cam,-0.036,-0.286,0.797
682062000000,icub,0.1,-0.32,0.78
682108000000,cam,-0.051,-0.266,0.798
682112000000,icub,0.1,-0.32,0.78
682158000000,cam,-0.054,-0.26,0.803
682162000000,icub,0.1,-0.32,0.78
682208000000,cam,-0.061,-0.241,0.802
682212000000,icub,0.1,-0.31,0.78
682258000000,cam,-0.066,-0.24,0.829
682262000000,icub,0.09,-0.3,0.78
682308000000,cam,-0.07,-0.207,0.808
682312000000,icub,0.11,-0.31,0.78
682358000000,cam,-0.072,-0.192,0.806
682362000000,icub,0.11,-0.31,0.78
