                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.37945,                0.32089,                0.85913,                0.97616,                      1,                  0.995,                0.94895,                0.35892,                0.27741,                0.81933,              0.0009902,              0.0009902,              0.0009902
                     54,                0.39288,                0.32657,                0.86012,                0.98465,                      1,                  0.995,                 0.9275,                0.39245,                 0.2979,                 0.8257,              0.0009704,              0.0009704,              0.0009704
                     55,                0.38667,                0.31188,                0.85962,                0.99482,                      1,                  0.995,                0.92665,                0.42759,                 0.2656,                0.84284,              0.0009506,              0.0009506,              0.0009506
                     56,                0.39565,                0.32129,                0.89336,                0.99331,                      1,                  0.995,                0.93971,                0.36984,                0.25047,                0.82725,              0.0009308,              0.0009308,              0.0009308
                     57,                0.37751,                0.31144,                0.86545,                0.99517,                      1,                  0.995,                0.92533,                0.41528,                0.25636,                0.84497,               0.000911,               0.000911,               0.000911
                     58,                0.37549,                0.30349,                0.85657,                0.99537,                      1,                  0.995,                0.93941,                0.38698,                0.25782,                0.83112,              0.0008912,              0.0008912,              0.0008912
                     59,                0.37403,                0.31415,                0.83851,                0.99716,                      1,                  0.995,                0.94681,                0.41499,                0.23693,                0.83975,              0.0008714,              0.0008714,              0.0008714
                     60,                0.39001,                0.30708,                 0.8631,                0.99674,                      1,                  0.995,                0.94835,                0.36859,                0.25354,                0.82852,              0.0008516,              0.0008516,              0.0008516
                     61,                0.38625,                0.30354,                0.85577,                0.99612,                      1,                  0.995,                0.93287,                0.40474,                0.25504,                0.84333,              0.0008318,              0.0008318,              0.0008318
                     62,                0.36703,                0.28716,                0.85847,                0.99608,                      1,                  0.995,                0.93695,                0.40051,                0.24548,                0.84283,               0.000812,               0.000812,               0.000812
                     63,                 0.3638,                0.31748,                0.85324,                0.99473,                      1,                  0.995,                0.93564,                0.39283,                0.24457,                0.84027,              0.0007922,              0.0007922,              0.0007922
                     64,                0.37596,                0.29851,                0.85249,                 0.9902,                      1,                  0.995,                0.93536,                 0.4118,                 0.2636,                0.84508,              0.0007724,              0.0007724,              0.0007724
                     65,                0.37768,                0.29469,                0.87421,                0.99453,                      1,                  0.995,                0.92367,                0.41007,                0.24451,                0.83252,              0.0007526,              0.0007526,              0.0007526
                     66,                0.35979,                 0.2807,                0.85514,                0.99661,                      1,                  0.995,                0.93853,                0.41661,                0.23376,                0.84163,              0.0007328,              0.0007328,              0.0007328
                     67,                0.34517,                 0.2695,                0.85518,                0.99698,                      1,                  0.995,                0.95539,                0.38961,                0.22323,                0.83432,               0.000713,               0.000713,               0.000713
                     68,                0.37082,                0.29808,                0.86599,                0.99704,                      1,                  0.995,                0.93731,                0.40909,                0.22204,                0.84475,              0.0006932,              0.0006932,              0.0006932
                     69,                0.33562,                0.28869,                0.83652,                0.99714,                      1,                  0.995,                0.93727,                0.40379,                0.24019,                0.83805,              0.0006734,              0.0006734,              0.0006734
                     70,                0.37335,                0.29599,                0.85186,                0.99483,                      1,                  0.995,                0.93228,                0.40683,                0.25992,                0.84339,              0.0006536,              0.0006536,              0.0006536
                     71,                0.33991,                0.27481,                0.86525,                0.98414,                      1,                  0.995,                0.93117,                 0.4238,                0.26695,                0.83933,              0.0006338,              0.0006338,              0.0006338
